PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
0iQLe,5rk1/6p1/p1p5/1p1p4/3Pp1Pp/PB2P2q/1P2Q3/2R2R1K w - - 0 41,e2h2 f8f1 c1f1 h3f1 h2g1 f1h3,2145,74,85,178,advantage endgame exposedKing kingsideAttack long,https://lichess.org/XmQc817G#81
0dykG,3r2k1/2q3pp/p7/1pB3P1/1P1R4/P3nQ1P/8/6K1 b - - 0 46,d8d4 f3f8,1018,78,65,781,endgame master mate mateIn1 oneMove,https://lichess.org/NVoboavz/black#92
0xaHz,r1bq1rk1/pp1n2bp/3Npnp1/8/2Pp4/3B1N2/PPQ2PPP/R1B2RK1 w - - 0 12,f3d4 d7c5 d4b5 a7a6 d3e2 a6b5,2264,76,91,416,advantage long opening,https://lichess.org/3sQfqGxt#23
11OxI,r1b1k2r/pp2b3/2n4p/1B1pB1p1/4n3/2P2N1P/PP3P2/RN2K2R b KQkq - 2 18,a7a6 b5c6 b7c6 e5h8,1516,77,84,336,advantage middlegame short,https://lichess.org/FplvTvAm/black#36
044S4,r5k1/6pp/2p1q3/1p2p3/pP4R1/1rP3QP/6P1/4R1K1 b - - 1 28,a8a7 e1e5 b3b1 g1h2 e6d7 g4d4,1681,333,100,3,crushing endgame long,https://lichess.org/Cg2fwWPC/black#56
0teCZ,4r1k1/1Q3ppp/p5q1/3p4/3PbP2/1P6/P5PP/4RR1K w - - 3 27,f1g1 e4g2 g1g2 e8e1 g2g1 g6g1,1078,76,94,1862,deflection discoveredAttack endgame long mate mateIn3,https://lichess.org/x6rMVQZG#53
0qtR1,rn3rk1/1b6/4p1p1/ppP3Np/5qPQ/3R3P/PPP2P2/5RK1 w - - 0 22,g5e6 f4e4 f2f3 e4e6,1698,337,100,1,crushing middlegame short,https://lichess.org/CUZqPKZX#43
0lMZP,1r6/5ppk/4p2p/8/3RPn2/2R4P/6P1/6K1 w - - 0 30,c3f3 f4e2 g1f2 e2d4,951,80,95,156,advantage endgame fork short,https://lichess.org/clJnD9WR#59
0Fz1R,1r1q2k1/3n1rp1/4p3/3pP2p/PP6/2P1QNKP/6P1/RN5R w - - 1 22,e3g5 f7f3 g3h4 d8g5 h4g5 f3g3 g5h4 g3g2,2282,108,80,14,attraction crushing middlegame veryLong,https://lichess.org/BYIciWvo#43
0FN3b,8/5R1R/5kr1/1p1Pp3/pr2Pp2/5P2/4K1P1/8 b - - 1 54,f6g5 f7f5,913,81,95,341,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/QWiguPAS/black#108
